kernel,0,20,40,60,80,100,stdev
block_1,1155,1160,1216,1173,1136,1204,30.548322376196047
block_2,2152,2185,2156,2156,2153,2166,12.612163441165304
block_3,2187,2159,2154,2173,2162,2182,13.277801022759755
block_4,2157,2168,2155,2162,2167,2159,5.316640543300503
block_5,2169,2152,2167,2180,2139,2131,18.949054505876187
block_6,2158,2142,2175,2160,2167,2146,12.441864811996632
block_7,2155,2167,2170,2165,2143,2158,9.912954487269003
block_8,2132,2162,2160,2173,2128,2128,20.08399030737335
