percentage,static,lsq_8
0,3.72967,1.00671
40,3.72967,1.36169
80,3.72967,1.65532
100,3.72967,0.728486
lowest_speedup,1,2.25
highest_speedup,1,5.12
gmean_speedup,1,3.29
