percentage,static,lsq_8
0,3.72267,1.01041
10,3.7259,1.07649
20,3.71941,1.16786
30,3.72548,1.27573
40,3.7194,1.39263
50,3.72442,1.49485
60,3.72325,1.59844
70,3.71823,1.65457
80,3.72777,1.67437
90,3.72149,1.67368
100,3.71822,0.761128
