percentage,static,lsq_8
0,5.88019,1.24402
40,5.88019,1.73496
80,5.88019,1.52618
100,5.88019,1.79853
lowest_speedup,1,3.27
highest_speedup,1,4.73
gmean_speedup,1,3.77
