percentage,static,lsq_8
0,4.07379,1.04573
40,4.07379,1.13078
80,4.07379,1.10685
100,4.07379,1.01658
lowest_speedup,1,3.6
highest_speedup,1,4.01
gmean_speedup,1,3.79
