percentage,static,lsq_8
0,5.06753,1.19238
40,5.06753,2.04373
80,5.06753,3.02605
100,5.06753,1.17013
lowest_speedup,1,1.67
highest_speedup,1,4.33
gmean_speedup,1,2.95
