percentage,static,lsq_8
0,7.10735,4.4589
40,7.10735,3.31253
80,7.10735,3.3104
100,7.10735,3.31018
lowest_speedup,1,1.59
highest_speedup,1,2.15
gmean_speedup,1,1.99
