design,time,cycles,freq
LSQ II=1,3.26697,440296250,59
LSQ II=2,1.90092,493974250,112
LSQ II=4,1.73044,395002250,155
LSQ II=8,0.825575,414996250,232
Static,3.72361,1165435250,293
