percentage,static,lsq_8
0,4.32673,1.11322
10,4.33802,1.24266
20,4.33093,1.42228
30,4.32764,1.60823
40,4.32599,1.7129
50,4.33283,2.03948
60,4.34181,2.20655
70,4.33057,2.43289
80,4.33349,2.55153
90,4.3294,2.81771
100,4.33116,1.09901
