percentage,static,lsq_8
0,4.32632,1.10604
40,4.32632,1.69304
80,4.32632,2.53155
100,4.32632,1.08389
lowest_speedup,1,1.71
highest_speedup,1,3.99
gmean_speedup,1,2.87
