percentage,static,lsq_8
0,7.10293,4.45009
40,7.10293,3.66568
80,7.10293,3.24099
100,7.10293,3.94508
lowest_speedup,1,1.6
highest_speedup,1,2.19
gmean_speedup,1,1.87
