percentage,static,lsq_8
0,6.27475,2.14233
40,6.27475,2.10417
80,6.27475,2.10349
100,6.27475,2.10263
lowest_speedup,1,2.93
highest_speedup,1,2.98
gmean_speedup,1,2.97
