percentage,static,dynamic_8qsize
0,4.34644,0.910043
40,4.35229,0.915894
80,4.35216,0.920633
100,4.34764,0.928188
lowest_speedup,1,4.68
highest_speedup,1,4.78
gmean_speedup,1,4.73
