percentage,static,dynamic_8qsize
0,7.45732,7.15155
40,5.68542,5.16442
80,4.51348,4.1957
100,5.33027,4.14555
lowest_speedup,1,1.04
highest_speedup,1,1.29
gmean_speedup,1,1.12
