percentage,static,dynamic_8qsize
0,2.18212,0.446764
40,2.18872,0.990657
80,2.18716,1.27367
100,2.17799,0.79091
lowest_speedup,1,1.72
highest_speedup,1,4.88
gmean_speedup,1,2.67
