percentage,static,dynamic_8qsize
0,4.01174,0.96438
10,4.01288,1.13814
20,4.00673,1.40624
30,4.01032,1.55517
40,4.01013,1.74567
50,4.01444,2.19582
60,4.011,2.33153
70,4.00677,2.61908
80,4.0078,2.73172
90,4.01223,2.93078
100,4.00923,0.86964
