percentage,static,dynamic_8qsize
0,216.911,44.7993
40,216.951,99.2745
80,217.054,125.53
100,216.78,78.2596
lowest_speedup,1,1.73
highest_speedup,1,4.84
gmean_speedup,1,2.67
