percentage,static,dynamic_8qsize
0,433.545,91.2503
40,433.544,91.2701
80,433.546,91.1989
100,433.543,91.2065
lowest_speedup,1,4.75
highest_speedup,1,4.75
gmean_speedup,1,4.75
