percentage,static,dynamic_8qsize
0,557.418,110.801
10,557.386,133.826
20,557.373,155.076
30,557.363,173.026
40,557.361,184.961
50,557.369,188.666
60,557.365,183.918
70,557.362,171.485
80,557.371,152.919
90,557.401,131.562
100,557.259,108.127
