percentage,static,dynamic_8qsize
0,355.036,81.1792
10,355.037,98.1904
20,355.049,115.531
30,355.057,134.71
40,355.073,153.617
50,355.077,170.915
60,355.076,185.357
70,355.09,196.462
80,355.086,203.783
90,354.982,207.425
100,354.722,57.6124
